,0,1
0,CC1(C2CCC(O1)(CC2)C)C,"4,7,7-trimethyl-8-oxabicyclo[2.2.2]octane"
1,CC(C)C1CCC(C)CC1O,5-methyl-2-propan-2-ylcyclohexan-1-ol
2,C[C@@H]1CC[C@@H](C(=O)C1)C(C)C,"(2R,5R)-5-methyl-2-propan-2-ylcyclohexan-1-one"
3,CC1CCC(C(C)C)C(O)C1,neo-Menthol
4,CC1CCC(C(C1)O)C(C)C,5-methyl-2-propan-2-ylcyclohexan-1-ol
5,CC1CCC2=C(C1)OC=C2C,"3,6-dimethyl-4,5,6,7-tetrahydro-1-benzofuran"
6,CC(C)C1CCC(C)CC1=O,5-methyl-2-propan-2-ylcyclohexan-1-one
7,CC1=CC[C@@H](CC1)C(=C)C,(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene
8,CC1CCC(C(C1)OC(=O)C)C(C)C,(5-methyl-2-propan-2-ylcyclohexyl) acetate
9,CC1CCC(C(=O)C1)C(C)C,5-methyl-2-propan-2-ylcyclohexan-1-one
10,C[C@@H]1CC[C@@H](C(C1)O)C(C)C,"(2R,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol"
11,CC1=CC(=O)C(C(C)C)CC1,"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)-, (R)-"
12,CCCCCC=CC=CC(=O)NCC(C)C,"isobutyl (E,E)-2,4-decadienamide"
13,CC(CO)O,"PROPANE-1,2-DIOL"
14,CC(=CCCC(C)(C=C)OC(=O)C)C,"3,7-dimethylocta-1,6-dien-3-yl acetate"
15,CC(=CCCC(C)(C=C)O)C,"3,7-Dimethylocta-1,6-dien-3-ol"
16,CC(=CCC(COC(=O)C)C(=C)C)C,(5-methyl-2-prop-1-en-2-ylhex-4-enyl) acetate
17,C=CC(C)=CCC=C(C)C,trans-beta-ocimene
18,C[C@]12CC[C@H]3[C@@H](CC3(C)C)[C@H](C1)C(=O)CC2,109119-65-5
19,CC1=CCC(CC1)(C(C)C)O,4-methyl-1-propan-2-ylcyclohex-3-en-1-ol
